341980336948903936	967033308	Tue Jun 04 18:10:40 +0000 2013	341959933320896512	17690286	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	The theory of the Universe being a living organism goes back to Plato! @mizcreant @Slaythedragon75 @StevenDLindsey @stuedal	CAMI
341980928442257409	967033308	Tue Jun 04 18:13:01 +0000 2013	341959933320896512	17690286	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	...and think about not being so self-righteous!   @mizcreant @Slaythedragon75 @StevenDLindsey @stuedal	CAMI
341981243057008640	967033308	Tue Jun 04 18:14:16 +0000 2013	341959933320896512	17690286	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	Religion or non-religion arent the World's "disease states,"  Self-righteousness is!  @mizcreant @Slaythedragon75 @StevenDLindsey @stuedal	CAMI
341982732118814723	151697789	Tue Jun 04 18:20:11 +0000 2013			<a href="http://sites.google.com/site/yorufukurou/" rel="nofollow">YoruFukurou</a>	false		Toronto, Canada	Apparently the transgender SEAL Team 6 operative identifies as a "warrior princess." I'm down with that. #girlslikeus	Jammies
341983658980278273	14965452	Tue Jun 04 18:23:52 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		Parts Known.	RT @cisnormativity: Basic advocacy #girlslikeus #guyslikeus #folkslikeus need from cis people now: to tell other cis people what cis means …	Lady Applesauce
341985802068324352	1436040728	Tue Jun 04 18:32:23 +0000 2013			web	false		Planet Earth	RT @bugbrennan   #ThingsMoreOffensiveThanCis #girlslikeus #SpeakingTruth	StupidShitQueeriosSy
341990030195175425	967033308	Tue Jun 04 18:49:11 +0000 2013	341987139153690624	724496870	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	How is the Universe being defined scientifically as "living" magic?  @Slaythedragon75 @mizcreant @StevenDLindsey @stuedal	CAMI
341991275899281408	967033308	Tue Jun 04 18:54:08 +0000 2013	341991087436599296	967033308	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	oops...  fallacy...  I know how u Atheists get when it comes to spelling!  @mizcreant @Slaythedragon75 @StevenDLindsey @stuedal	CAMI
341996220736217088	967033308	Tue Jun 04 19:13:47 +0000 2013	341992783843819520	17690286	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	http://t.co/L88BKIsQoP  @mizcreant @Slaythedragon75 @StevenDLindsey @stuedal	CAMI
341996543873785857	967033308	Tue Jun 04 19:15:04 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	RT @roxanamjones: RT @shafeee: @ShannonGrissom &lt;The beauty of life is that we all get to interpret it as we wish :) TY ♥	CAMI
341998536004603904	32171756	Tue Jun 04 19:22:59 +0000 2013			<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>	false		Arizona	As we work toward #LGBT equality, join me in pledging to not let the #HIV epidemic fall by the wayside http://t.co/ob55eJlsTz #girlslikeus	Abby Jensen
342002138983063553	22721958	Tue Jun 04 19:37:18 +0000 2013			<a href="http://twitter.com/#!/download/ipad" rel="nofollow">Twitter for iPad</a>	false		San Francisco	New report highlights police hostility towards #trans women of color via @villagevoice #girlslikeus http://t.co/u9U8fqGIK8	Trans March
342005809137459200	967033308	Tue Jun 04 19:51:53 +0000 2013	342003786983813121	724496870	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	Anyways, thank you for the nice chat @mizcreant! You're a gentleman and a scholar!   @Slaythedragon75  @StevenDLindsey @stuedal	CAMI
342038642300178433	967033308	Tue Jun 04 22:02:21 +0000 2013	342034118781054977	831991550	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	lol.  @N0pantz	CAMI
